series	season	category	title
classic-who	7	Main Show	The Ambassadors of Death (4)
classic-who	7	Main Show	The Ambassadors of Death (5)
classic-who	7	Main Show	The Ambassadors of Death (6)
classic-who	7	Main Show	The Ambassadors of Death (7)
classic-who	7	Main Show	Inferno (1)
classic-who	7	Main Show	Inferno (2)
classic-who	7	Main Show	Inferno (3)
classic-who	7	Main Show	Inferno (4)
classic-who	7	Main Show	Inferno (5)
classic-who	7	Main Show	Inferno (6)
classic-who	7	Main Show	Inferno (7)
classic-who	8	Main Show	Terror of the Autons (1)
classic-who	8	Main Show	Terror of the Autons (2)
classic-who	8	Main Show	Terror of the Autons (3)
classic-who	8	Main Show	Terror of the Autons (4)
classic-who	8	Main Show	The Mind of Evil (1)
classic-who	8	Main Show	The Mind of Evil (2)
classic-who	8	Main Show	The Mind of Evil (3)
classic-who	8	Main Show	The Mind of Evil (4)
classic-who	8	Main Show	The Mind of Evil (5)
classic-who	8	Main Show	The Mind of Evil (6)
classic-who	8	Main Show	The Claws of Axos (1)
classic-who	8	Main Show	The Claws of Axos (2)
classic-who	8	Main Show	The Claws of Axos (3)
classic-who	8	Main Show	The Claws of Axos (4)
classic-who	8	Main Show	Colony in Space (1)
classic-who	8	Main Show	Colony in Space (2)
classic-who	8	Main Show	Colony in Space (3)
classic-who	8	Main Show	Colony in Space (4)
classic-who	8	Main Show	Colony in Space (5)
classic-who	8	Main Show	Colony in Space (6)
classic-who	8	Main Show	The Daemons (1)
classic-who	8	Main Show	The Daemons (2)
classic-who	8	Main Show	The Daemons (3)
classic-who	8	Main Show	The Daemons (4)
classic-who	8	Main Show	The Daemons (5)
classic-who	9	Main Show	Day of the Daleks (1)
classic-who	9	Main Show	Day of the Daleks (2)
classic-who	9	Main Show	Day of the Daleks (3)
classic-who	9	Main Show	Day of the Daleks (4)
classic-who	9	Main Show	The Curse of Peladon (1)
classic-who	9	Main Show	The Curse of Peladon (2)
classic-who	9	Main Show	The Curse of Peladon (3)
classic-who	9	Main Show	The Curse of Peladon (4)
classic-who	9	Main Show	The Sea Devils (1)
classic-who	9	Main Show	The Sea Devils (2)
classic-who	9	Main Show	The Sea Devils (3)
classic-who	9	Main Show	The Sea Devils (4)
classic-who	9	Main Show	The Sea Devils (5)
classic-who	9	Main Show	The Sea Devils (6)
classic-who	9	Main Show	The Mutants (1)
classic-who	9	Main Show	The Mutants (2)
classic-who	9	Main Show	The Mutants (3)
classic-who	9	Main Show	The Mutants (4)
classic-who	9	Main Show	The Mutants (5)
classic-who	9	Main Show	The Mutants (6)
classic-who	9	Main Show	The Time Monster (1)
classic-who	9	Main Show	The Time Monster (2)
classic-who	9	Main Show	The Time Monster (3)
classic-who	9	Main Show	The Time Monster (4)
