season	category	title	status	note	ceiling	have
7	Prequel	Pond Life	ok		1080p web	1080p 25fps AAC
7	Prequel	Asylum of the Daleks	ok		1080p web	1080p 25fps AAC
7	Main Show	Asylum of the Daleks	ok		1080p Blu-ray	1080p 25fps AAC
7	Minisode	The Inforarium	ok		1080p web	1080p 25fps AAC
7	Main Show	Dinosaurs on a Spaceship	ok		1080p Blu-ray	1080p 25fps AAC
7	Prequel	The Making of the Gunslinger	ok		1080p web	1080p 25fps AAC
7	Main Show	A Town Called Mercy	ok		1080p Blu-ray	1080p 25fps AAC
7	Main Show	The Power of Three	ok		1080p Blu-ray	1080p 25fps AAC
7	Main Show	The Angels Take Manhattan	ok		1080p Blu-ray	1080p 25fps AAC
7	Minisode	P.S.	ok		storyboards only, never filmed	480p 25fps AAC
7	Minisode	Rory's Story	ok		1080p YouTube	
7	Prequel	The Battle of Demon's Run: Two Days Later	ok		1080p web	1080p 25fps AAC
7	Prequel	The Great Detective	ok		1080p web	1080p 25fps AAC
7	Prequel	Vastra Investigates	ok		1080p web	1080p 25fps AAC
7	Special	The Snowmen	ok		1080p Blu-ray	1080p 25fps AAC
7	Prequel	The Bells of Saint John	ok		1080p web	1080p 25fps AAC
7	Main Show	The Bells of Saint John	ok		1080p Blu-ray	1080p 25fps AAC
7	Main Show	The Rings of Akhaten	ok		1080p Blu-ray	1080p 25fps AAC
7	Minisode	Rain Gods	ok		1080p web	1080p 25fps AAC
7	Main Show	Cold War	ok		1080p Blu-ray	1080p 25fps AAC
7	Main Show	Hide	ok		1080p Blu-ray	1080p 25fps AAC
7	Main Show	Journey to the Centre of the TARDIS	ok		1080p Blu-ray	1080p 25fps AAC
7	Minisode	Clara and the TARDIS	ok		1080p web	1080p 25fps AAC
7	Main Show	The Crimson Horror	ok		1080p Blu-ray	1080p 25fps AAC
7	Main Show	Nightmare in Silver	ok		1080p Blu-ray	1080p 25fps AAC
7	Prequel	Clarence and the Whispermen	ok		1080p web	1080p 25fps AAC
7	Prequel	She Said, He Said	ok		1080p web	1080p 25fps AAC
7	Main Show	The Name of the Doctor	ok		1080p Blu-ray	1080p 25fps AAC
7	Minisode	A Hyperscape Body Swap Ticket	ok		1080p broadcast	
7	Minisode	The Night of the Doctor	ok		1080p web	1080p 23.976fps AAC
7	Minisode	The Last Day	ok		1080p web	1080p 23.976fps AAC
7	Special	The Day of the Doctor	ok		1080p Blu-ray	1080p 23.976fps AAC
7	Special	The Time of the Doctor	ok		1080p Blu-ray	1080p 23.976fps AAC
8	Prequel	Deep Breath	ok		1080p web	1080p 23.976fps AAC
8	Main Show	Deep Breath	ok		1080p Blu-ray	1080p 25fps AAC
8	Main Show	Into the Dalek	ok		1080p Blu-ray	1080p 25fps AAC
8	Main Show	Robot of Sherwood	ok		1080p Blu-ray	1080p 25fps AAC
8	Main Show	Listen	ok		1080p Blu-ray	1080p 25fps AAC
8	Main Show	Time Heist	ok		1080p Blu-ray	1080p 25fps AAC
8	Main Show	The Caretaker	ok		1080p Blu-ray	1080p 25fps AAC
8	Main Show	Kill the Moon	ok		1080p Blu-ray	1080p 25fps AAC
8	Main Show	Mummy on the Orient Express	ok		1080p Blu-ray	1080p 25fps AAC
